UASG	IID
UASG-0003	207363850013_R01C02
UASG-0004	207363850077_R01C01
UASG-0005	207363850077_R01C02
UASG-0006	207211690102_R09C02
UASG-0007	207339170112_R01C02
UASG-0008	207363850074_R01C01
UASG-0010	207363850074_R01C02
UASG-0013	207363850013_R03C01
UASG-0019	207363850013_R03C02
UASG-0025	207363850077_R03C02
UASG-0027	207339170112_R03C01
UASG-0033	207363850074_R03C01
UASG-0035	207363850074_R03C02
UASG-0036	207363850013_R04C01
UASG-0038	207363850013_R04C02
UASG-0039	207363850077_R04C01
UASG-0047	207339170112_R04C02
UASG-0049	207363850090_R09C01
UASG-0052	207363850013_R05C02
UASG-0056	207363850077_R05C01
UASG-0057	207363850077_R05C02
UASG-0060	207339170112_R05C01
UASG-0061	207339170112_R05C02
UASG-0063	207363850074_R05C01
UASG-0065	207363850074_R05C02
UASG-0068	207363850013_R06C01
UASG-0070	207363850013_R06C02
UASG-0078	207339170112_R06C02
UASG-0082	207363850074_R06C01
UASG-0084	207363850074_R06C02
UASG-0090	207363850013_R07C01
UASG-0092	207363850077_R07C01
UASG-0093	207363850077_R07C02
UASG-0099	207339170112_R07C02
UASG-0102	207363850074_R07C01
UASG-0115	207363850013_R08C01
UASG-0117	207363850013_R08C02
UASG-0118	207363850077_R08C01
UASG-0119	207363850077_R08C02
UASG-0122	207339170112_R08C02
UASG-0125	207363850074_R08C02
UASG-0134	207363850042_R07C01
UASG-0142	207339170082_R07C02
UASG-0144	207339170134_R07C01
UASG-0147	207363850107_R07C01
UASG-0153	207363850042_R08C01
UASG-0154	207363850042_R08C02
UASG-0156	207339170082_R08C02
UASG-0157	207363850042_R01C01
UASG-0158	207363850042_R01C02
UASG-0162	207339170082_R01C01
UASG-0165	207339170082_R01C02
UASG-0166	207339170134_R01C01
UASG-0167	207339170134_R01C02
UASG-0168	207363850107_R01C01
UASG-0169	207363850107_R01C02
UASG-0170	207363850042_R02C01
UASG-0173	207363850042_R02C02
UASG-0175	207339170082_R02C01
UASG-0176	207339170082_R02C02
UASG-0178	207339170134_R02C01
UASG-0181	207339170134_R02C02
UASG-0183	207363850107_R02C01
UASG-0184	207363850107_R02C02
UASG-0189	207363850042_R03C01
UASG-0190	207363850042_R03C02
UASG-0194	207339170082_R03C01
UASG-0196	207339170082_R03C02
UASG-0197	207339170134_R03C01
UASG-0200	207339170134_R03C02
UASG-0202	207363850107_R03C01
UASG-0204	207363850107_R03C02
UASG-0206	207363850042_R04C01
UASG-0210	207339170082_R04C01
UASG-0211	207339170082_R04C02
UASG-0213	207339170134_R04C01
UASG-0217	207339170134_R04C02
UASG-0220	207363850107_R04C01
UASG-0221	207363850107_R04C02
UASG-0223	207363850042_R05C01
UASG-0232	207339170082_R05C02
UASG-0233	207339170134_R05C01
UASG-0234	207339170134_R05C02
UASG-0236	207363850107_R05C01
UASG-0237	207363850107_R05C02
UASG-0239	207363850042_R06C01
UASG-0241	207363850042_R06C02
UASG-0246	207339170134_R06C01
UASG-0248	207339170134_R06C02
UASG-0251	207363850107_R06C01
UASG-0253	207363850107_R06C02
UASG-0257	207339170134_R08C02
UASG-0258	207363850107_R08C01
UASG-0259	207363850107_R08C02
UASG-0262	207363850042_R09C01
UASG-0263	207363850042_R09C02
UASG-0271	207339170082_R09C01
UASG-0281	207339170134_R09C01
UASG-0296	207363850090_R09C02
UASG-0304	207363850107_R09C01
UASG-0305	207363850107_R09C02
UASG-0309	207363850008_R12C02
UASG-0310	207363850031_R12C01
UASG-0313	207363850031_R12C02
UASG-0316	207211690102_R12C01
UASG-0320	207211690102_R12C02
UASG-0330	207363850013_R09C01
UASG-0337	207363850090_R12C01
UASG-0338	207363850008_R10C01
UASG-0340	207363850008_R10C02
UASG-0342	207363850013_R09C02
UASG-0343	207363850077_R09C01
UASG-0344	207363850031_R10C01
UASG-0346	207211690102_R10C01
UASG-0349	207211690102_R10C02
UASG-0350	207363850090_R10C01
UASG-0352	207363850077_R09C02
UASG-0353	207339170112_R09C01
UASG-0360	207339170112_R09C02
UASG-0361	207363850074_R09C01
UASG-0362	207363850008_R11C01
UASG-0366	207363850074_R09C02
UASG-0370	207363850013_R10C01
UASG-0371	207363850013_R10C02
UASG-0385	207363850077_R10C01
UASG-0395	207363850008_R11C02
UASG-0400	207339170112_R01C01
UASG-0431	207363850077_R10C02
UASG-0432	207339170112_R10C01
UASG-1001	207339170112_R10C02
UASG-1013	207363850074_R10C01
UASG-1027	207363850074_R10C02
UASG-1030	207363850013_R11C01
UASG-1032	207363850031_R11C01
UASG-1035	207363850013_R11C02
UASG-1040	207363850077_R11C01
UASG-1042	207363850077_R11C02
UASG-1043	207339170112_R11C01
UASG-1044	207339170112_R11C02
UASG-1052	207363850074_R11C02
UASG-1054	207363850013_R12C01
UASG-1056	207363850077_R12C01
UASG-1061	207363850077_R12C02
UASG-1067	207339170112_R12C01
UASG-1068	207339170112_R12C02
UASG-1069	207363850074_R12C01
UASG-1075	207363850042_R10C02
UASG-1077	207339170082_R10C01
UASG-1087	207339170134_R10C01
UASG-1094	207339170134_R10C02
UASG-1099	207363850107_R10C01
UASG-1106	207363850042_R10C01
UASG-1109	207363850107_R10C02
UASG-1110	207363850042_R11C01
UASG-1113	207363850042_R11C02
UASG-1126	207363850031_R11C02
UASG-1127	207339170082_R11C01
UASG-1130	207339170082_R11C02
UASG-1132	207339170134_R11C01
UASG-1134	207339170134_R11C02
UASG-1138	207211690102_R11C01
UASG-1141	207363850107_R11C01
UASG-1143	207363850107_R11C02
UASG-1145	207363850042_R12C01
UASG-1155	207363850042_R12C02
UASG-1157	207339170082_R12C01
UASG-1163	207339170134_R12C01
UASG-1170	207339170134_R12C02
UASG-1178	207363850107_R12C01
UASG-1180	207363850008_R01C01
UASG-1184	207363850008_R01C02
UASG-1185	207363850031_R01C01
UASG-1186	207211690102_R11C02
UASG-1187	207363850031_R01C02
UASG-1206	207211690102_R01C02
UASG-1223	207363850090_R11C01
UASG-1226	207363850090_R01C02
UASG-1229	207363850090_R11C02
UASG-1230	207363850008_R02C01
UASG-1231	207363850008_R02C02
UASG-1240	207363850031_R02C02
UASG-1241	207211690102_R02C01
UASG-1248	207363850090_R02C01
UASG-1251	207363850090_R02C02
UASG-1259	207363850008_R03C01
UASG-1260	207363850008_R03C02
UASG-1282	207363850031_R03C01
UASG-1291	207363850074_R04C01
UASG-1293	207363850031_R03C02
UASG-1305	207211690102_R03C01
UASG-1311	207211690102_R03C02
UASG-1312	207363850090_R03C01
UASG-1318	207363850090_R03C02
UASG-1325	207363850008_R04C02
UASG-1331	207363850031_R04C02
UASG-1333	207211690102_R04C01
UASG-1338	207211690102_R04C02
UASG-1348	207363850090_R04C01
UASG-1355	207363850090_R04C02
UASG-1360	207363850008_R05C01
UASG-1361	207363850008_R05C02
UASG-1364	207363850031_R05C02
UASG-1366	207339170134_R09C02
UASG-1374	207211690102_R05C01
UASG-1381	207363850090_R05C01
UASG-1392	207363850090_R05C02
UASG-1399	207363850008_R06C01
UASG-1404	207363850008_R06C02
UASG-1407	207363850031_R06C01
UASG-1410	207363850031_R06C02
UASG-1412	207211690102_R06C01
UASG-1418	207363850090_R06C01
UASG-1420	207363850090_R06C02
UASG-1423	207363850008_R07C01
UASG-1435	207363850008_R07C02
UASG-1441	207363850031_R07C02
UASG-1450	207211690102_R07C01
UASG-1462	207211690102_R07C02
UASG-1466	207363850090_R07C01
UASG-1467	207363850090_R07C02
UASG-1482	207363850008_R08C02
UASG-1489	207363850031_R08C02
UASG-1504	207211690102_R08C01
UASG-1563	207211690102_R08C02
